## This file contains information for standards with a (reported) ion in positive polarity.
## For each CHRIS batch a column is available with the (manually verified) approximate retention time
## for this ion - or no value (NA) if the ion is not present/detected.
## Note that the presence of a retention time in a batch does not mean that the signal is clean and
## the assignment to a peak would be unambiguous.
"mix"	"name"	"abbreviation"	"formula"	"POS"	"RT"	"mz"	"mzmin"	"mzmax"	"BATCH0088"
2	"cGMP"	"GMP_c"	"C10H12N5O7P"	"[M+H]+"	217	346.054710354	346.051249806896	346.058170901104	
2	"Histidine"	"histidine"	"C6H9N3O2"	"[M+H]+"	188	156.076752528	156.075191760475	156.078313295525	189
2	"Hydroxyproline"	"hydroxyproline"	"C5H9NO3"	"[M+H]+"	175	132.065519148	132.064198492809	132.066839803191	175
2	"Hypoxanthine"	"hypoxanthine"	"C5H4N4O"	"[M+H]+"	126	137.045786748	137.044416290133	137.047157205867	126
2	"L-Kynurenine"	"kynurenine"	"C10H12N2O3"	"[M+H]+"	157	209.092068244	209.089977323318	209.094159164682	157
2	"1-Methylxanthine"	"methylxanthine_1"	"C6H6N4O2"	"[M+H]+"	80	167.056351432	167.054680868486	167.058021995514	80
2	"3-Nitrotyrosine"	"nitrotyrosine"	"C9H10N2O5"	"[M+H]+"	157	227.06624742	227.063976757526	227.068518082474	
2	"Phosphocreatine"	"phosphocreatine"	"C4H10N3O5P"	"[M+H]+"	198	212.04308305	212.040962619169	212.04520348083	
2	"UDP-glucuronate"	"UDP_glucuronate"	"C15H22N2O18P2"	"[M+NH4]+"	323	598.068115124	598.062134442849	598.074095805151	
2	"Valine"	"valine"	"C5H11NO2"	"[M+H]+"	166	118.086254592	118.085073729454	118.087435454546	167
3	"Adenylosuccinic Acid"	"adenylosuccinic"	"C14H18N5O11P"	"[M+H]+"	250	464.081319026	464.07667821281	464.08595983919	
3	"Alanine"	"alanine"	"C3H7NO2"	"[M+H]+"	170	90.054954464	90.0540539144554	90.0558550135446	170
3	"Citrulline"	"citrulline"	"C6H13N3O3"	"[M+H]+"	182	176.102967276	176.101206246327	176.104728305673	182
3	"Cytosine"	"cytosine"	"C4H5N3O"	"[M+H]+"	153	112.05053778	112.049417274622	112.051658285378	
3	"Glucose"	"glucose"	"C6H12O6"	"[M+Na]+"	167	203.052608104	203.050577577919	203.054638630081	167
3	"Glutathione Oxidized"	"glutathione_oxidized"	"C20H32N6O12S2"	"[M+H]+"	212	613.159238464	613.153106871615	613.165370056385	
3	"Guanine"	"guanine"	"C5H5N5O"	"[M+H]+"	155	152.05668578	152.055165213142	152.058206346858	162
3	"Isoleucine"	"isoleucine"	"C6H13NO2"	"[M+H]+"	155	132.101904656	132.100583636953	132.103225675047	155
3	"Niacinamide"	"niacinamide"	"C6H6N2O"	"[M+H]+"	50	123.055288812	123.054058259112	123.056519364888	50
3	"5-Oxoproline"	"oxoproline"	"C5H7NO3"	"[M+H]+"	71	130.049869084	130.048568585309	130.051169582691	67
3	"Palmitoylcarnitine"	"palmitoylcarnitine"	"C23H45NO4"	"[M+H]+"	34	400.34213492	400.338131498651	400.346138341349	34
4	"Acetylalanine"	"acetylalanine_NL"	"C5H9NO3"	"[M+H]+"	37	132.065519148	132.064198492809	132.066839803191	37
4	"Allantoin"	"allantoin"	"C4H6N4O3"	"[M+H]+"	139	159.051266052	159.049675539339	159.052856564661	
4	"Gamma-Aminobutyric acid"	"aminobutyric"	"C4H9NO2"	"[M+H]+"	144	104.070604528	104.069563821955	104.071645234045	
4	"AMP"	"AMP"	"C10H14N5O7P"	"[M+H]+"	212	348.070360418	348.066879714396	348.073841121604	212
4	"Glutamine"	"glutamine"	"C5H10N2O3"	"[M+H]+"	178	147.07641818	147.074947415818	147.077888944182	180
4	"GMP"	"GMP"	"C10H14N5O8P"	"[M+H]+"	229	364.065275038	364.06163438525	364.06891569075	227
4	"Leucine"	"leucine"	"C6H13NO2"	"[M+H]+"	152	132.101904656	132.100583636953	132.103225675047	147
4	"Phenylethylamine"	"phenylethylamine"	"C8H11N"	"[M+H]+"	37	122.096425352	122.095204387746	122.097646316254	35
4	"Putrescine"	"putrescine"	"C4H12N2"	"[M+H-NH3]+"	173	72.080775734	72.0800549262427	72.0814965417573	166
4	"Pyridoxine"	"pyridoxine"	"C8H11NO3"	"[M+H]+"	123	170.081169212	170.079468400308	170.082870023692	
4	"Riboflavin"	"riboflavin"	"C17H20N4O6"	"[M+H]+"	145	377.14556036	377.141788904396	377.149331815604	142
4	"SAMe"	"SAMe"	"C15H23N6O5S"	"[M+H]+"	193	400.152339836	400.148338312602	400.156341359398	186
4	"Sedoheptulose-7-phosphate"	"sedoheptulose_phosphate"	"C7H15O10P"	"[M+H-H2O]+"	235	273.03699507	273.034264700049	273.039725439951	
5	"dADP"	"ADP_d"	"C10H15N5O9P2"	"[M+H]+"	260	412.04177632	412.037655902237	412.045896737763	
5	"dCDP"	"CDP_d"	"C9H15N3O10P2"	"[M+H]+"	260	388.03054294	388.026662634571	388.034423245429	
5	"Corticosterone"	"corticosterone"	"C21H30O4"	"[M+H]+"	35	347.22168544	347.218213223146	347.225157656854	36
5	"1,3-Dimethyluric acid"	"dimethyluric_1_3"	"C7H8N4O3"	"[M+H]+"	100	197.066916116	197.064945446839	197.068886785161	
5	"Glycerophospho-inositol"	"glycerophospho_inositol"	"C9H19O11P"	"[M+H]+"	NA	335.073774058	335.070423320259	335.077124795741	
5	"Mannose"	"mannose"	"C6H12O6"	"[M+Na]+"	163	203.052608104	203.050577577919	203.054638630081	163
5	"5-MTA"	"MTA"	"C11H15N5O3S"	"[M+H]+"	80	298.09683634	298.093855371637	298.099817308363	
5	"NADP"	"NADP"	"C21H28N7O17P3"	"[M+H]+"	280	744.082728326	744.075287498717	744.090169153283	
5	"Nicotinic acid"	"nicotinic"	"C6H5NO2"	"[M+H]+"	37	124.0393044	124.038064006956	124.040544793044	
5	"Orotic acid"	"orotic"	"C5H4N2O4"	"[M+H]+"	177	157.024382608	157.022812364174	157.025952851826	
5	"PABA"	"PABA"	"C7H7NO2"	"[M+H]+"	36	138.054954464	138.053573914455	138.056335013545	
5	"Threonine"	"threonine"	"C4H9NO3"	"[M+H]+"	173	120.065519148	120.064318492809	120.066719803191	173
6	"Acetylglutamic acid"	"acetylglutamic"	"C7H11NO5"	"[M+H]+"	87	190.070998452	190.069097742015	190.072899161985	
6	"Acetylglycine"	"acetylglycine"	"C4H7NO3"	"[M+H]+"	54	118.049869084	118.048688585309	118.051049582691	54
6	"Arginine"	"arginine"	"C6H14N4O2"	"[M+H]+"	187	175.118951688	175.117200498483	175.120702877517	187
6	"Asparagine"	"asparagine"	"C4H8N2O3"	"[M+H]+"	183	133.060768116	133.059437508319	133.062098723681	184
6	"Choline"	"choline"	"C5H13NO"	"[M+H]+"	37	104.106990036	104.1059489661	104.1080311059	37
6	"CMP"	"CMP"	"C9H14N3O8P"	"[M+H]+"	211	324.059127038	324.05588644673	324.06236762927	
6	"Cystine"	"cystine"	"C6H12N2O4S2"	"[M+H]+"	211	241.031124864	241.028714552751	241.033535175249	211
6	"Histamine"	"histamine"	"C5H9N3"	"[M+H]+"	172	112.086923288	112.085802418767	112.088044157233	182
6	"3-Hydroxybutyric Acid"	"hydroxybutyric_3"	"C4H8O3"	"[M+Na]+"	37	127.036564116	127.035293750359	127.037834481641	
6	"Methioninesulfoxide"	"methionine_sulfoxide"	"C5H11NO3S"	"[M+H]+"	182	166.053240212	166.051579679598	166.054900744402	183
6	"Paracetamol"	"paracetamol"	"C8H9NO2"	"[M+H]+"	36	152.070604528	152.069083821955	152.072125234045	36
6	"Sphingosine-1-phosphate"	"sphingosine_phosphate"	"C18H38NO5P"	"[M+H]+"	145	380.256035946	380.252233385641	380.259838506359	145
6	"Sucrose"	"sucrose"	"C12H22O11"	"[M+Na]+"	187	365.105431524	365.101780469685	365.109082578315	187
6	"Tryptophan"	"tryptophan"	"C11H12N2O2"	"[M+H]+"	155	205.097153624	205.095102652464	205.099204595536	156
6	"UDP-acetylglucosamine"	"UDP_acetylglucosamine"	"C17H27N3O17P2"	"[M+H]+"	331	608.088845664	608.082764775543	608.094926552457	
7	"ADMA"	"ADMA"	"C8H18N4O2"	"[M+H]+"	176	203.150251816	203.148220313482	203.152283318518	175
7	"dAMP"	"AMP_d"	"C10H14N5O6P"	"[M+H]+"	208	332.075445798	332.072125043542	332.078766552458	
7	"Caffeine"	"caffeine"	"C8H10N4O2"	"[M+H]+"	35	195.08765156	195.085700683484	195.089602436516	35
7	"CDP-choline"	"CDP_choline"	"C14H26N4O11P2"	"[M+H]+"	217	489.114606912	489.109715765931	489.119498058069	
7	"Creatinine"	"creatinine"	"C4H7N3O"	"[M+H]+"	87	114.066187844	114.065047182122	114.067328505878	87
7	"Glycero-phosphocholine"	"glycero_phosphocholine"	"C8H20NO6P"	"[M+H]+"	189	258.11009999	258.107518889	258.112681091	190
7	"Methionine"	"methionine"	"C5H11NO2S"	"[M+H]+"	163	150.058325592	150.056825008744	150.059826175256	163
7	"3-Methylhistidine"	"methylhistidine_3"	"C7H11N3O2"	"[M+H]+"	186	170.092402592	170.090701667974	170.094103516026	187
7	"1-Methyluric acid"	"methyluric"	"C6H6N4O3"	"[M+H]+"	145	183.051266052	183.049435539339	183.053096564661	145
7	"Phenylpyruvic acid"	"phenylpyruvic"	"C9H8O3"	"[M+H-H2O]+"	35	147.044055876	147.042585435441	147.045526316559	
7	"Serine"	"serine"	"C3H7NO3"	"[M+H]+"	181	106.049869084	106.048808585309	106.050929582691	182
7	"Sphingosine"	"sphingosine"	"C18H37NO2"	"[M+H]+"	37	300.289705424	300.286702526946	300.292708321054	32
7	"Taurine"	"taurine"	"C2H7NO3S"	"[M+H]+"	172	126.021940084	126.020679864599	126.023200303401	172
7	"Threonic Acid"	"threonic"	"C4H8O5"	"[M+Na]+"	130	159.026393356	159.024803092066	159.027983619934	126
8	"Biotin"	"biotin"	"C10H16N2O3S"	"[M+H]+"	72	245.095439372	245.092988417606	245.097890326394	
8	"C5 Carnitine"	"carnitine_c5"	"C12H23NO4"	"[M+H]+"	47	246.169984216	246.167522516158	246.172445915842	47
8	"Cystathionine"	"cystathionine"	"C7H14N2O4S"	"[M+H]+"	207	223.074703928	223.072473180961	223.076934675039	207
8	"5,6-Dihydro Thymine"	"dihydrothymine"	"C5H8N2O2"	"[M+H]+"	37	129.065853496	129.064562837465	129.067144154535	
8	"dGDP"	"GDP_d"	"C10H15N5O10P2"	"[M+H]+"	260	428.03669094	428.032410573091	428.040971306909	
8	"Inosine"	"inosine"	"C10H12N4O5"	"[M+Na]+"	146	291.069989484	291.067078784105	291.072900183895	146
8	"Mevalonic Acid"	"mevalonic"	"C6H12O4"	"[M+H-H2O]+"	48	131.070270624	131.068959921294	131.071581326706	
8	"Ornithine"	"ornithine"	"C5H12N2O2"	"[M+H]+"	190	133.097153624	133.095822652464	133.098484595536	192
8	"Tyrosine"	"tyrosine"	"C9H11NO3"	"[M+H]+"	168	182.081169212	182.079348400308	182.08299002369	1682
8	"Uracil"	"uracil"	"C4H4N2O2"	"[M+H]+"	64	113.034553368	113.033423022466	113.035683713534	
9	"N-Acetylserine"	"acetylserine"	"C5H9NO4"	"[M+H]+"	82	148.060433768	148.058953163662	148.061914372338	82
9	"ADP-Ribose"	"ADP_ribose"	"C15H23N5O14P2"	"[M+H]+"	270	560.078949676	560.073348886503	560.084550465497	
9	"CDP-ethanolamine"	"CDP_ethanolamine"	"C11H20N4O11P2"	"[M+H]+"	219	447.06765672	447.063186043433	447.072127396567	
9	"L-Cysteine"	"cysteine"	"C3H7NO2S"	"[M+H]+"	170	122.027025464	122.025805193745	122.028245734255	
9	"Diethyl malonate"	"diethylmalonate"	"C7H12O4"	"[M+H]+"	29	161.080834864	161.079224055651	161.082445672349	
9	"Erythrose 4-phosphate"	"erythrose_phosphate"	"C4H9O7P"	"[M+Na]+"	225	222.997809258	222.995579279907	223.000039236093	
9	"Glucose 1-Phosphate"	"glucose_phosphate_1"	"C6H13O9P"	"[2M+H]+"	237	521.066713252	521.061502584868	521.071923919132	
9	"Guanosine"	"guanosine"	"C10H13N5O5"	"[M+H]+"	163	284.098944516	284.096103526555	284.101785505445	163
9	"IMP"	"IMP"	"C10H13N4O8P"	"[M+H]+"	226	349.054376006	349.05088546224	349.05786654976	
9	"NADH"	"NADH"	"C21H29N7O14P2"	"[M+H]+"	265	666.132047868	666.125386547521	666.138709188479	
9	"Pipecolic acid"	"pipecolic"	"C6H11NO2"	"[M+H]+"	169	130.086254592	130.084953729454	130.087555454546	
9	"Proline"	"proline"	"C5H9NO2"	"[M+H]+"	169	116.070604528	116.069443821955	116.071765234045	170
9	"Thymidine"	"thymidine"	"C10H14N2O5"	"[M+Na]+"	72	265.079491548	265.076840753085	265.082142342916	72
10	"N-Acetylornithine"	"acetylornithine"	"C7H14N2O3"	"[M+H]+"	170	175.107718308	175.105967230817	175.109469385183	172
10	"Adenosine"	"adenosine"	"C10H13N5O4"	"[M+H]+"	134	268.104029896	268.101348855701	268.106710936299	134
10	"L-Aspartic Acid"	"aspartic"	"C4H7NO4"	"[M+H]+"	181	134.044783704	134.043443256163	134.046124151837	181
10	"Citric Acid"	"citric"	"C6H8O7"	"[M+Na]+"	177	215.016222596	215.014072433774	215.018372758226	177
10	"Cytidine"	"cytidine"	"C9H13N3O5"	"[M+H]+"	162	244.092796516	244.090355588035	244.095237443965	159
10	"GDP"	"GDP"	"C10H15N5O11P2"	"[M+H]+"	295	444.03160556	444.027165243944	444.036045876056	
10	"Glucosamine"	"glucosamine"	"C6H13NO5"	"[M+H]+"	181	180.086648516	180.084847649515	180.088449382485	182
10	"Phosphoenolpyruvic Acid"	"phosphoenolpyruvic"	"C3H5O6P"	"[M+H]+"	227	168.98965051	168.987960613495	168.991340406505	
10	"Phosphorylethanolamine"	"phosphorylethanolamine"	"C2H8NO4P"	"[M+H]+"	198	142.026370366	142.024950102296	142.027790629704	199
10	"Ribulose 5-Phosphate"	"ribulose_phosphate"	"C5H11O8P"	"[M+H]+"	225	231.026429942	231.024119677701	231.028740206299	
10	"SAH"	"SAH"	"C14H20N6O5S"	"[M+H]+"	186	385.12886474	385.125013451353	385.132716028647	186
10	"Salicylic acid"	"salicylic"	"C7H6O3"	"[M+H]+"	34	139.038970052	139.037579662299	139.040360441701	29
10	"Spermidine"	"spermidine"	"C7H19N3"	"[M+H]+"	188	146.165173608	146.163711956264	146.166635259736	191
10	"Thymine"	"thymine"	"C5H6N2O2"	"[M+H]+"	58	127.050203432	127.048932929966	127.051473934034	
11	"ADP"	"ADP"	"C10H15N5O10P2"	"[M+H]+"	256	428.03669094	428.032410573091	428.040971306909	
11	"L-Carnitine"	"carnitine"	"C7H15NO3"	"[M+H]+"	130	162.11246934	162.110848215307	162.114090464693	130
11	"L,L-Cyclo(leucylprolyl)"	"cyclo_leucylprolyl"	"C11H18N2O2"	"[M+H]+"	35	211.144103816	211.141992374962	211.146215257038	35
11	"Dihydroorotic acid"	"dihydroorotic"	"C5H6N2O4"	"[M+H]+"	120	159.040032672	159.038442271673	159.041623072327	
11	"Glutathione Reduced"	"glutathione_reduced"	"C20H32N6O12S2"	"[M+H]+"	211	613.159238464	613.153106871615	613.165370056385	
11	"Lysine"	"lysine"	"C6H14N2O2"	"[M+H]+"	188	147.112803688	147.111332559963	147.114274816037	188
11	"3-Methylxanthine"	"methylxanthine_3"	"C6H6N4O2"	"[M+H]+"	86	167.056351432	167.054680868486	167.058021995514	86
11	"2-Phosphoglyceric Acid"	"phosphoglyceric_2"	"C3H7O7P"	"[M+H]+"	250	187.000215194	186.998345191848	187.002085196152	
11	"SDMA"	"SDMA"	"C8H18N4O2"	"[M+H]+"	174	203.150251816	203.148220313482	203.152283318518	175
11	"Tetrahydrobiopterin"	"tetrahydrobiopterin"	"C9H15N5O3"	"[M+Na]+"	141	264.10670934	264.104068272907	264.109350407093	
11	"p-Tyramine"	"tyramine"	"C8H11NO"	"[M+H]+"	127	138.091339972	138.0899590586	138.0927208854	
11	"UDP-Glucose"	"UDP_glucose"	"C15H24N2O17P2"	"[M+Na]+"	305	589.044240568	589.038350125594	589.050131010406	
12	"Argininosuccinic acid"	"argininosuccinic"	"C10H18N4O6"	"[M+H]+"	199	291.129910296	291.126998996897	291.132821595103	
12	"Carnosine"	"carnosine"	"C9H14N4O3"	"[M+H]+"	184	227.113866308	227.111595169337	227.116137446663	183
12	"dCMP"	"CMP_d"	"C9H14N3O7P"	"[M+H]+"	203	308.064212418	308.061131775876	308.067293060124	
12	"Folic acid"	"folic"	"C19H19N7O6"	"[M+Na]+"	160	464.128901328	464.124260038987	464.133542617013	
12	"N-Formyl-L-methionine"	"formylmethionine"	"C6H11NO3S"	"[M+H]+"	37	178.053240212	178.051459679598	178.055020744402	
12	"Galactitol"	"galactitol"	"C6H14O6"	"[M+Na]+"	167	205.068258168	205.066207485418	205.070308850582	166
12	"Glucose 6-Phosphate"	"glucose_phosphate_6"	"C6H13O9P"	"[2M+H]+"	239	521.066713252	521.061502584868	521.071923919132	
12	"dGMP"	"GMP_d"	"C10H14N5O7P"	"[M+H]+"	223	348.070360418	348.066879714396	348.073841121604	
12	"Guanidoacetic acid"	"guanidoacetic"	"C3H7N3O2"	"[M+H]+"	170	118.061102464	118.059921852975	118.062283075025	170
12	"Homocysteine"	"homocysteine"	"C4H9NO2S"	"[M+H]+"	168	136.042675528	136.041315101245	136.044035954755	
12	"Ketoleucine"	"ketoleucine"	"C6H10O3"	"[M+H]+"	34	131.07027018	131.068959477298	131.071580882702	
12	"Methotrexate"	"methotrexate"	"C20H22N8O5"	"[M+H]+"	155	455.178591804	455.174040018082	455.183143589918	
12	"Sebacic acid"	"sebacic"	"C10H18O4"	"[M+Na]+"	36	225.109729056	225.107477958709	225.111980153291	
12	"Thiamine"	"thiamine"	"C12H16N4OS"	"[M+H]+"	148	265.111758132	265.109107014419	265.114409249581	
12	"Tryptamine"	"tryptamine"	"C10H12N2"	"[M+H-NH3]+"	36	144.080775734	144.079334926243	144.082216541757	
13	"N-Acetyl-beta-alanine"	"acetylalanine_NB"	"C5H9NO3"	"[M+H]+"	37	132.065519148	132.064198492809	132.066839803191	37
13	"Acetylneuraminic Acid"	"acetylneuraminic"	"C11H19NO9"	"[M+H-H4O2]+"	180	274.092128248	274.089387326718	274.094869169282	175
13	"Dopamine"	"dopamine"	"C8H11NO2"	"[M+H]+"	140	154.086254592	154.084713729454	154.087795454546	
13	"Fructose-1,6-Diphosphate"	"fructose_diphosphate"	"C6H14O12P2"	"[M+H-H2O]+"	330	322.992760908	322.989530980391	322.995990835609	
13	"Indoleacetic acid"	"indoleacetic"	"C10H9NO2"	"[M+H]+"	35	176.070604528	176.068843821955	176.072365234045	35
13	"1-Methylhistidine"	"methylhistidine_1"	"C7H11N3O2"	"[M+H]+"	182	170.092402592	170.090701667974	170.094103516026	182
13	"8-Oxo-2-Deoxyguanosine"	"oxodeoxyguanosine"	"C10H13N5O5"	"[M+H]+"	159	284.098944516	284.096103526555	284.101785505445	163
13	"Pantothenic Acid"	"pantothenic"	"C9H17NO5"	"[M+H]+"	38	220.117948644	220.115747464514	220.120149823486	38
13	"Phenylacetic acid"	"phenylacetic"	"C8H8O2"	"[M+H]+"	33	137.059705496	137.058334898945	137.061076093055	
13	"Phosphorylcholine"	"phosphorylcholine"	"C5H14NO4P"	"[M+H]+"	195	184.073320558	184.071479824794	184.075161291206	197
13	"Sorbitol"	"sorbitol"	"C6H14O6"	"[M+Na]+"	165	205.068258168	205.066207485418	205.070308850582	165
13	"Spermine"	"spermine"	"C10H26N4"	"[M+H]+"	204	203.223022832	203.220990601772	203.225055062228	
13	"Uridine"	"uridine"	"C9H12N2O6"	"[M+H]+"	124	245.076812104	245.074361335879	245.079262872121	124
14	"Acetylcarnitine"	"acetylcarnitine"	"C9H17NO4"	"[M+H]+"	37	204.123034024	204.12099279366	204.12507525434	37
14	"ADP-Glucose"	"ADP_glucose"	"C16H25N5O15P2"	"[M+H-Hexose-H2O]+"	275	428.03668486	428.032404493151	428.040965226849	
14	"1,5-anhydro D-glucitol"	"anhydroglucitol"	"C6H12O5"	"[M+Na]+"	135	187.057693484	187.055822907065	187.059564060935	
14	"Glyceraldehyde 2-phosphate"	"glyceraldehyde_phosphate"	"C3H7O6P"	"[M+H]+"	213	171.005300574	171.003590520994	171.007010627006	205
14	"Glycerol-3-Phosphate"	"glycerol_phosphate"	"C3H9O6P"	"[M+H]+"	222	173.020950638	173.019220428494	173.022680847506	
14	"Indolelactic acid"	"indolelactic"	"C11H11NO3"	"[M+H]+"	37	206.081169212	206.079108400308	206.083230023692	37
14	"Levodopa"	"levodopa"	"C9H11NO4"	"[M+H]+"	170	198.076083832	198.074103071162	198.078064592838	170
14	"NAD"	"NAD"	"C21H27N7O14P2"	"[M+H]+"	225	664.116397804	664.109756640022	664.123038967978	
14	"Pyridoxic Acid"	"pyridoxic"	"C8H9NO4"	"[M+H]+"	85	184.060433768	184.058593163662	184.062274372338	
14	"Serotonin"	"serotonin"	"C10H12N2O"	"[M+H-NH3]+"	132	160.075690354	160.074089597096	160.077291110904	135
14	"Ureidopropionic acid"	"ureidopropionic"	"C4H8N2O3"	"[M+H]+"	88	133.060768116	133.059437508319	133.062098723681	
14	"Xylulose 5-Phosphate"	"xylulose_phosphate"	"C5H11O8P"	"[M+H]+"	225	231.026429942	231.024119677701	231.028740206299	
15	"N-alpha-Acetyl-L-arginine"	"acetylarginine"	"C8H16N4O3"	"[M+H]+"	170	217.129516372	217.127345076836	217.131687667164	
15	"alpha-Aminoadipic acid"	"aminoadipic"	"C6H11NO4"	"[M+H]+"	170	162.076083832	162.074463071162	162.077704592838	172
15	"FAD"	"FAD"	"C27H33N9O15P2"	"[M+H]+"	290	786.164410616	786.156548971894	786.172272260106	
15	"Glucosamine-6-Phosphate"	"glucosamine_phosphate"	"C6H14NO8P"	"[M+H]+"	219	260.052979038	260.05037850821	260.05557956779	
15	"Glucuronic Acid"	"glucuronic"	"C6H10O7"	"[M+Na]+"	171	217.03187266	217.029702341273	217.034042978727	
15	"p-Hydroxyphenylacetic acid"	"hydroxyphenylacetic"	"C8H8O3"	"[M+H-H2O]+"	36	135.044055876	135.042705435441	135.045406316559	
15	"Isovalerylglycine"	"isovalerylglycine"	"C7H13NO3"	"[M+H]+"	37	160.096819276	160.095218307807	160.098420244193	
15	"2-Methylcitric acid"	"methylcitric"	"C7H10O7"	"[M+Na]+"	171	229.03187266	229.029582341273	229.034162978727	
15	"Phenylalanine"	"phenylalanine"	"C9H11NO2"	"[M+H]+"	154	166.086254592	166.084593729454	166.087915454546	155
15	"Phosphoserine"	"phosphoserine"	"C3H8NO6P"	"[M+H]+"	231	186.016199606	186.014339444004	186.018059767996	
16	"Acetyl-Glucosamine"	"acetylglucosamine"	"C8H15NO6"	"[M+Na]+"	156	244.0791572	244.076716408428	244.081597991572	155
16	"Acetylmethionine"	"acetylmethionine"	"C7H13NO3S"	"[M+H]+"	37	192.068890276	192.066969587097	192.070810964903	
16	"Dihydroxyacetone phosphate"	"dihydroxyacetone_phosphate"	"C3H7O6P"	"[M+H]+"	220	171.005300574	171.003590520994	171.007010627006	210
16	"1,7-Dimethyluric acid"	"dimethyluric_1_7"	"C7H8N4O3"	"[M+H]+"	119	197.066916116	197.064945446839	197.068886785161	
16	"homovanillic acid"	"homovanillic"	"C9H10O4"	"[M+H-CH2O2]+"	36	137.05970593	137.058335332941	137.061076527059	
16	"6-Phosphogluconic Acid"	"phosphogluconic"	"C6H13O10P"	"[M+H-H2O]+"	265	259.021345006	259.01875479255	259.02393521945	
16	"Quinolinic acid"	"quinolinic"	"C7H5NO4"	"[M+H]+"	176	168.02913364	168.027453348664	168.030813931336	
17	"Acetylaspartic acid"	"acetylaspartic"	"C6H9NO5"	"[M+H]+"	100	176.055348388	176.053587834516	176.057108941484	
17	"Epinephrine"	"epinephrine"	"C9H13NO3"	"[M+H]+"	144	184.096819276	184.094978307807	184.098660244193	
17	"Gluconic Acid"	"gluconic"	"C6H12O7"	"[M+Na]+"	171	219.047522724	219.045332248773	219.049713199227	171
17	"3-Hydroxy-DL-kynurenine"	"hydroxykynurenine_3"	"C10H12N2O4"	"[M+H]+"	163	225.086982864	225.084731994171	225.089233733829	
17	"Indoxyl sulfate"	"indoxyl_sulfate"	"C8H7NO4S"	"[M+Na]+"	50	235.998798704	235.996438716013	236.001158691987	
17	"alpha-Lactose"	"lactose"	"C12H22O11"	"[M+Na]+"	194	365.105431524	365.101780469685	365.109082578315	195
17	"7-Methylxanthine"	"methylxanthine_7"	"C6H6N4O2"	"[M+H]+"	85	167.056351432	167.054680868486	167.058021995514	85
17	"Nicotine"	"nicotine"	"C10H14N2"	"[M+H]+"	37	163.122974448	163.121343218256	163.124605677744	33
17	"Ribose 5-Phosphate"	"ribose_phosphate"	"C5H11O8P"	"[M+H-H2O]+"	230	213.015865702	213.013735543343	213.017995860657	
17	"Succinylacetone"	"succinylacetone"	"C7H10O4"	"[M+Na]+"	35	181.0471288	181.045318328712	181.048939271288	33
17	"Xanthosine"	"xanthosine"	"C10H12N4O6"	"[M+Na]+"	153	307.064904104	307.061833454959	307.067974753041	
18	"Fructose 6-Phosphate"	"fructose_phosphate"	"C6H13O9P"	"[2M+H]+"	235	521.066713252	521.061502584868	521.071923919132	
18	"3-Hydroxy-DL-kynurenine"	"hydroxykynurenine_3"	"C10H12N2O4"	"[M+H]+"	163	225.086982864	225.084731994171	225.089233733829	
19	"Adenine"	"adenine"	"C5H5N5"	"[M+H]+"	133	136.06177116	136.060410542288	136.063131777712	
19	"Homocysteinethiolactone"	"homocysteinethiolactone"	"C4H7NOS"	"[M+H]+"	124	118.032110844	118.030930522892	118.033291165108	
