"","mix","name","abbreviation","HMDB.code","formula","POS","NEG","RT","data_set","sample","operator","version","quality_POS","quality_NEG","mzneut","mz_ion","rtmin","rtmax"
"SDMA",11,"SDMA","SDMA","HMDB0003334","C8H18N4O2","[M+H]+","[M-H]-",174,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",202.142975898,203.150252353,160,200
"Hydroxyproline",2,"Hydroxyproline","hydroxyproline","HMDB0000725","C5H9NO3","[M+H]+","[M-H]-",175,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",131.058243207,132.065519662,160,180
"L-Glutamic Acid",1,"L-Glutamic Acid","glutamic","HMDB0000148","C5H9NO4","[M+H]+","[M-H]-",176,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",147.053157837,148.060434292,165,190
"ADMA",7,"ADMA","ADMA","HMDB0001539","C8H18N4O2","[M+H]+","[M-H]-",176,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",202.142975898,203.150252353,163,198
"Dimethylglycine",1,"Dimethylglycine","dimethylglycine","HMDB0000092","C4H9NO2","[M+H]+","[M-H]-",177,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"2_medium","1_good",103.063328577,104.070605032,160,175
"Glutamine",4,"Glutamine","glutamine","HMDB0000641","C5H10N2O3","[M+H]+","[M-H]-",178,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",146.069142244,147.076418699,170,190
"Acetylhistidine",1,"Acetylhistidine","acetylhistidine","HMDB0032055","C8H11N3O3","[M+H]+","[M-H]-",180,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"2_medium","2_medium",197.080041281,198.087317736,165,190
"Serine",7,"Serine","serine","HMDB0000187","C3H7NO3","[M+H]+","[M-H]-",181,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",105.042593137,106.049869592,173,195
"L-Aspartic Acid",10,"L-Aspartic Acid","aspartic","HMDB0000191","C4H7NO4","[M+H]+","[M-H]-",181,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",133.037507767,134.044784222,172,195
"Citrulline",3,"Citrulline","citrulline","HMDB0000904","C6H13N3O3","[M+H]+","[M-H]-",182,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",175.095691351,176.102967806,170,210
"Methioninesulfoxide",6,"Methioninesulfoxide","methionine_sulfoxide","HMDB0002005","C5H11NO3S","[M+H]+","[M-H]-",182,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",165.045963977,166.053240432,178,193
"Asparagine",6,"Asparagine","asparagine","HMDB0000168","C4H8N2O3","[M+H]+","[M-H]-",183,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",132.053492174,133.060768629,178,295
"Arginine",6,"Arginine","arginine","HMDB0000517","C6H14N4O2","[M+H]+","[M-H]-",187,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"0_perfect","1_good",174.111675758,175.118952213,165,210
"Histidine",2,"Histidine","histidine","HMDB0000177","C6H9N3O2","[M+H]+","[M-H]-",188,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"0_perfect","0_perfect",155.069476581,156.076753036,170,210
"Lysine",11,"Lysine","lysine","HMDB0000182","C6H14N2O2","[M+H]+","[M-H]-",188,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",146.105527754,147.112804209,170,210
"Glycero-phosphocholine",7,"Glycero-phosphocholine","glycero_phosphocholine","HMDB0000086","C8H20NO6P","[M+H]+","[M+Cl]-",189,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",257.102824482,258.110100937,185,200
"Ornithine",8,"Ornithine","ornithine","HMDB0000214","C5H12N2O2","[M+H]+","[M-H]-",190,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",132.089877684,133.097154139,175,215
"Argininosuccinic acid",12,"Argininosuccinic acid","argininosuccinic","HMDB0000052","C10H18N4O6","[M+H]+","[M-H]-",199,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",290.122634418,291.129910873,185,205
"Cystine",6,"Cystine","cystine","HMDB0000192","C6H12N2O4S2","[M+H]+","[M-H]-",211,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","0_perfect",240.023848344,241.031124799,205,225
